text,label,exp1_pred,exp1_conf,exp3_pred,exp3_conf
"Para sa labanan sa pagkaalkalde sa Makati sa darating eleksyon, sa ilalim ng UNA, iprinoklama si Rep. Abby Binay bilang kanilang pambato.",0,1,0.995411,0,0.9985
#OnlyBinayAgainstRape,1,1,0.8279115,1,0.995
"@theJonnny malakas @sengracepoe &amp; alam ni Binay yn so less votes ky @MARoxas na mortal enemy nia, @SayChiz looks like loyal ally @twitnigab",0,1,0.9831139,1,0.6855
Poe advisers say they’re more than a match for Binay’s Puno https://t.co/Kc8J4lCuqa https://t.co/Ym3KmMH6zr,0,1,0.98520803,0,1.0
Napaka-PUTANGINA niyo po Mar Roxas. Swear!,1,0,0.5249432,1,0.999
Kinakabahan ako kay Mar Roxas juskooo,1,1,0.89007455,1,0.8833
"SC says Junjun Binay’s petition already moot, should be dismissed https://t.co/WKSZTSCxSc https://t.co/QdMdAO7lsb",0,0,0.9929375,0,1.0
@Antifornicator yes the govenment's secret service sprinkled magic vetsin to vote binay or mar...halaka u will vote for either of the 2! lol,0,1,0.99598,1,0.918
Kayo talaga naaalala ko sa commercial ni binay ./. Kayo ni Dawming Jyung-jyung ?????? @MaricarPD_,0,1,0.99636805,1,0.9766
RT @HecklerForever: ??: Today is VP Binay's b'day. HAPPY BIRTHDAY VP! - Here are the Top 10 Messages Received by VP Binay on his bday- https…,0,0,0.98940676,0,0.996
#LabanLeni naalala ko sabi ng mga taga ARMM...si bbm ang may plan b-z! Baba daw si duterte.impeach daw si binay.,0,1,0.99534947,1,0.921
2015/11/11 11:36 PHT,0,0,0.9916106,0,1.0
Kahit candidate ni Dj si Mar Roxas di ko parin yun iboboto hahaha,0,0,0.9854715,0,0.991
Has Grace Poe criticized Jalosjos for actually raping a child? NO.,0,1,0.8078338,1,0.6865
"Tang ina, so tired to hear Binay's advertisement.",1,1,0.9850264,1,0.9976
Binay and BBm shd form a club...Hibangers Club. Unbelievable. Tsk. https://t.co/7Dao9phsXe,1,1,0.99603003,1,0.9883
Still confuse on how Mar Roxas is next to Duterte. That should be Santiago or Poe?,0,0,0.5566718,0,0.997
THE STANDARD: UPDATE: Sen. Miriam Santiago’s ‘meet &amp; greet’ event at Bahay ng Alumni in UP Diliman begins at 6 pm Monday.,0,1,0.9940228,0,1.0
Wag nyo ngang sabihan ng bobo si Mar Roxas. Ang kakapal naman ng mukha nyo. MATALINO BA KAYO?,1,1,0.9964044,1,0.9976
"Etong Binay na 'to, kung makapag-salita against sa gobyerno, akala mo hindi siya kasama dun e. Hello, VICE PRESIDENT ka kaya.",1,1,0.94531083,1,0.942
#PH2016,1,1,0.7682772,1,0.6143
DI GUMAGANA UNG MIC NI BINAY HAHAHAHAHAHA #PiliPinasDebates2016,0,1,0.98196435,0,0.944
#shareLang... https://t.co/Yu3bccCdnl,0,1,0.98843455,0,0.888
"Binay echoes @senmiriam: Courts must prove guilt of those accused of corruption, wrongdoing. Both are lawyers. #PHvote",0,0,0.99289376,0,1.0
Mar Roxas is this and that. Isnt about time you compare him to other candidates? https://t.co/OjeSdTfuCm,0,1,0.9801634,0,0.991
Mar + Poe against Duterte? Nako SWAYANG POE. #DuterteTillTheEnd #DuterteForPresident #Duterte2016,0,1,0.9635962,0,0.7925
"RT ConceptGrp: 'Don't cheapen the presidency,' Duterte tells Poe's camp #Halalan2016 https://t.co/sadxacM6gf https://t.co/dvdWRyaxMN",0,0,0.99262613,0,1.0
"Kay Binay, pera pera lang yan. Alam nyo na ha. https://t.co/426ZJVETao",1,1,0.99431384,1,0.9917
"ready to ""Meet the Presidentiables: Mar Roxas"" ?? #skyline @ The Manila Polo Club https://t.co/xbNkfBACtW",0,0,0.9934968,0,1.0
Ahhh so people would still choose Mar and Binay over MDS...but why? ?? https://t.co/DPZAWofynX,0,1,0.83816653,0,0.9956
